Time,groundFloor.PI_livingroom.y,groundFloor.PI_hobby.y,groundFloor.PI_corridor.y,groundFloor.PI_WC.y,groundFloor.PI_kitchen.y,upperFloor.PI_bedroom.y,upperFloor.PI_children1.y,upperFloor.PI_bath.y,upperFloor.PI_children2.y
727200,614.4551,244.27113,128.71027,0,724.49414,271.93854,123.29402,0,535.1584
730800,641.38635,360.76895,127.53427,112.821434,770.59283,375.28986,274.2653,198.32162,560.2313
734400,619.8866,385.6,127.454254,188.93076,657.67773,428.5713,339.90338,327.77737,480.52676
738000,594.0166,382.16022,128.38255,220.14262,562.312,445.63297,351.49432,389.49506,404.8093
741600,584.1148,373.61945,129.74202,230.37613,502.74368,445.5928,344.7238,410.17532,353.26816
745200,587.4906,366.76413,131.25163,233.7014,471.0654,438.8803,335.78766,411.27872,325.13022
748800,603.47406,364.04193,133.49739,237.98587,460.77426,433.20767,333.0833,407.16537,316.34027
752400,624.5018,363.8973,135.93988,243.06313,462.6374,430.39334,335.44122,403.26053,319.15637
756000,642.4575,364.2813,138.4251,248.83632,466.3754,429.088,338.6863,402.07532,323.66257
759600,444.57056,364.21884,141.80396,588.4549,121.62968,142.43712,341.06592,823.8047,60.504375
763200,697.77716,294.4119,145.57487,0,791.56946,328.9218,171.54532,0,587.5519
766800,742.6465,400.4405,148.36945,133.72687,854.0513,438.37152,328.04395,211.36662,623.12665
770400,748.3751,421.68362,151.31111,226.52924,746.7281,497.04645,399.22574,353.1005,548.4797
774000,747.0501,417.79996,155.23636,267.1652,657.2029,520.9194,416.99118,423.35834,478.614
777600,743.4725,408.24554,158.27568,279.10385,596.69745,523.5957,410.8235,446.81894,428.00223
781200,740.5291,399.90436,160.72215,280.7786,560.4322,515.88806,398.42447,447.16214,397.06616
784800,739.66644,394.358,163.10023,281.05362,541.18176,504.8545,387.6994,439.62976,381.2198
788400,744.96893,392.6945,168.16003,286.6745,535.36615,496.3013,383.15842,433.21448,377.281
792000,757.33704,394.32938,176.31258,297.8883,539.40796,492.63437,384.5549,430.65192,381.59842
795600,769.90076,396.07388,183.0802,306.74747,545.9674,490.7364,386.45746,429.4332,387.47272
799200,781.67883,397.63858,188.61613,313.662,553.1429,489.97943,388.21436,429.16336,393.06073
802800,792.5262,398.99142,193.22865,319.27673,560.1917,490.04355,389.61777,429.4443,397.79114
806400,798.14716,398.71475,194.76134,321.61084,561.56555,488.4524,388.22977,430.46194,396.9116
810000,662.8718,394.85355,193.10956,732.3596,131.32108,266.12604,380.71674,916.77673,67.84691
813600,861.8355,375.9808,188.76173,36.40678,864.38715,438.5966,248.5,0,649.29
817200,847.1571,447.06235,183.43709,150.65765,922.8106,511.5583,367.64777,213.00375,676.47076
820800,813.16595,446.09018,178.8541,242.83319,795.4297,536.73047,408.107,356.213,582.3151
824400,783.3886,429.34305,176.08803,281.89014,688.7798,536.6184,409.63596,427.61633,496.47275
828000,761.0249,413.38217,173.96155,291.59967,616.2905,524.72546,397.57382,451.93088,435.4677
831600,745.17865,401.79953,171.56366,289.67294,571.5678,508.88718,384.191,452.30273,398.14835
835200,739.52954,395.73883,170.92307,288.57184,549.01733,495.86838,376.8287,445.50644,380.88275
838800,740.40924,393.0323,171.41164,289.3655,539.9537,486.78445,374.28888,438.36584,376.0404
842400,743.2069,391.53745,172.1155,291.79614,534.8987,480.3779,373.43604,434.41943,374.2685
846000,585.69336,390.63223,174.46686,670.6395,131.59421,233.5063,373.6789,889.3457,69.16072
849600,824.2144,363.7615,178.23679,6.155037,864.35706,419.59875,241.29417,0,650.21173
853200,849.93677,449.73697,181.99199,153.15869,936.33636,516.12213,384.3139,225.46075,691.99615
856800,848.07947,458.989,186.15678,262.49933,822.6818,561.9414,442.34387,378.25104,612.1016
860400,840.1617,447.92715,190.03688,309.94156,725.7093,575.9943,452.0517,453.93262,535.50446
864000,832.2426,435.03094,193.29895,324.19583,659.7791,572.69635,442.60712,479.50217,479.702
867600,825.6091,425.14685,195.55139,325.54892,619.37115,561.4619,429.06244,479.85806,444.86453
871200,820.4377,418.5061,196.83516,323.57803,596.3003,547.92413,417.42188,471.02463,425.6809
874800,817.4568,414.51056,197.98395,322.6023,584.47534,535.48846,409.56558,461.42477,416.7874
878400,818.67957,413.0519,200.62094,325.39758,580.967,526.59174,406.29614,454.8785,415.02283
882000,824.8007,413.69348,205.29492,332.05127,583.511,522.0424,406.93387,452.0431,417.92648
885600,831.4931,414.4286,209.2861,337.45813,587.6514,519.47815,407.85153,450.62704,421.48022
889200,835.27704,414.12003,210.94812,339.05994,590.41656,516.7156,407.01398,448.99826,423.1615
892800,836.64667,413.13022,211.10622,340.07205,589.4542,513.6421,405.01822,449.194,420.76614
896400,719.3408,409.82956,209.33698,765.49274,137.70381,307.07492,399.2764,947.4995,72.92275
900000,917.1899,411.37283,206.84373,66.66782,906.66077,481.6279,285.53577,0,686.0062
903600,774.4467,471.2925,204.39473,175.7374,907.49194,535.2599,394.16568,206.25212,687.77277
907200,459.33142,457.9544,200.5073,259.72723,633.1479,506.51288,415.20532,319.09616,507.77838
910800,187.94557,429.1639,194.0486,287.6969,409.8094,445.2577,395.64368,374.4814,344.74506
914400,46.859985,401.92273,186.82162,288.93372,282.64273,385.1953,366.6662,402.75778,245.43373
918000,75.05161,380.83423,182.1353,287.8462,258.56723,347.50027,344.55978,415.8711,209.70888
921600,239.51852,375.16202,181.61142,294.1937,312.84268,344.33817,343.47223,423.6842,210.92249
925200,426.1554,380.91245,186.22037,308.31897,386.5234,360.9629,359.64932,431.1265,234.64162
928800,575.6694,390.10434,196.01642,328.7795,446.28546,386.56723,380.52945,440.80762,267.48074
932400,594.0955,398.28232,207.45406,804.9186,134.46725,250.96652,397.70532,976.3544,66.81443
936000,879.99036,471.29028,217.95279,111.17343,974.7833,451.34775,349.92673,0,737.4564
939600,902.4931,520.31696,227.11029,231.21417,1034.936,549.91315,466.042,235.34174,771.596
943200,887.19183,504.1764,235.248,331.3338,883.24585,598.09467,501.6377,399.62607,669.9973
