Time,groundFloor.PI_livingroom.y,groundFloor.PI_hobby.y,groundFloor.PI_corridor.y,groundFloor.PI_WC.y,groundFloor.PI_kitchen.y,upperFloor.PI_bedroom.y,upperFloor.PI_children1.y,upperFloor.PI_bath.y,upperFloor.PI_children2.y
820800,605.95404,549.1813,283.19043,349.73804,767.5764,658.20416,522.3361,394.08136,652.0738
824400,344.85065,495.00427,271.70584,363.0525,535.3217,572.79156,479.2934,453.65305,480.32602
828000,274.5828,458.56436,263.34326,364.24643,421.518,509.7392,445.0367,485.07947,381.0848
831600,354.96686,438.39774,257.9677,365.08105,408.13998,479.4331,427.43402,498.78943,347.50598
835200,502.3103,434.50076,257.52206,373.5399,452.86862,480.6703,432.0994,506.3016,352.9947
838800,632.96844,437.0198,259.51944,383.29492,502.43478,494.09045,445.54953,510.2561,374.19208
842400,725.1228,440.788,263.4176,394.20044,537.7897,511.0559,458.4071,514.3308,397.95657
846000,764.287,444.17734,268.69376,915.8194,145.85266,412.1798,467.6934,1090.3533,80.28898
849600,1015.64215,559.0191,274.34705,192.25722,1054.6538,600.0796,454.47687,60.4158,815.98126
853200,998.9248,586.56934,281.2842,291.50116,1122.958,674.6625,551.2404,284.5565,867.8599
856800,964.4506,555.99335,289.6475,383.4073,962.26434,701.9634,572.5613,455.8385,768.3682
860400,944.0863,524.0208,297.87775,429.09064,833.3826,704.4697,564.40247,543.97736,674.9634
864000,933.5807,501.7216,303.21738,444.53656,748.6011,694.3342,547.8972,575.202,607.0528
867600,928.02106,488.36996,305.7078,446.35376,698.2001,679.27905,532.375,576.7492,564.4054
871200,926.8296,481.38602,306.9962,445.0309,671.49554,664.4357,521.33856,567.3846,541.37134
874800,928.1837,477.99313,307.63812,443.81345,659.1288,651.8071,514.2822,556.4826,530.6991
878400,930.35803,476.25928,307.72107,442.93802,654.56323,641.7,509.65213,547.38934,526.57495
882000,933.28156,475.4202,307.7946,442.87793,654.57916,634.1724,506.69797,540.9819,525.6908
885600,937.12836,475.0744,308.12238,443.5776,657.16296,628.9501,504.8009,536.8611,526.1782
889200,940.4768,474.75897,308.29126,444.08475,660.53955,625.1419,503.1368,534.04584,526.6776
